full_name	sub_name	section	repeatmasker_type	repeatmasker_subtype	repeatmasker_section	repeatmasker_subsection	repeatmasker_name
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_and_7SL_RNA	No_or_Unknown_Core	Unknown_LINE-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_and_7SL_RNA	No-core	L1-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	Ceph-core	RTE-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	Ceph-core	Unknown_LINE-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	Deu-core	CR1-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	Deu-core	I-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	Deu-core	L2-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	Deu-core	RTE-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	Deu-core	Unknown_LINE-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	Meta-core	Unknown_LINE-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	MIR-core	L2-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	MIR-core	Mermaid
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	MIR-core	RTE-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	MIR-core	Unknown_LINE-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No_or_Unknown_Core	BovB-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No_or_Unknown_Core	CR1-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No_or_Unknown_Core	I-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No_or_Unknown_Core	Jockey-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No_or_Unknown_Core	L1-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No_or_Unknown_Core	L2-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No_or_Unknown_Core	R1-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No_or_Unknown_Core	R2-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No_or_Unknown_Core	Rex-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No_or_Unknown_Core	RTE-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No_or_Unknown_Core	Tad1_End
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No_or_Unknown_Core	Unknown_LINE-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	No-core	L1-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	Sauria-core	L2-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	Sauria-core	RTE-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	Sauria-core	Unknown_LINE-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	V_and_MIR-core	L2-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	V-core	CR1-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	V-core	L2-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	V-core	RTE-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	tRNA_Promoter	V-core	Unknown_LINE-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	U-RNA_Promoter	U-RNA_Promoter	No_or_Unknown_Core
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	U-RNA_Promoter	U-RNA_Promoter	Unknown_LINE-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	Unknown_Promoter	Ceph-core	RTE-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	Unknown_Promoter	MIR-core	RTE-end
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	LINE-dependent_Retroposon	SINE	Unknown_Promoter	MIR-core	Unknown_LINE-dependent
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	Retrotransposon	Inverted_LTR	Tyrosine_Recombinase_Elements	Tyrosine_Recombinase_Elements	DIRS _Q
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	Retrotransposon	Inverted_LTR	Tyrosine_Recombinase_Elements	Tyrosine_Recombinase_Elements	Ngaro
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	Retrotransposon	Inverted_LTR	Tyrosine_Recombinase_Elements	Tyrosine_Recombinase_Elements	Viper
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	Retrotransposon	LTR	LTR	LTR	Bel-Pao
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	Retrotransposon	LTR	LTR	LTR	Gypsy
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	Retrotransposon	LTR	LTR	LTR	Pararetroviridae
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	Retrotransposon	LTR	LTR	LTR	Retroviridae
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	Retrotransposon	LTR	LTR	LTR	TRIM
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	Retrotransposon	LTR	LTR	LTR	Ty1-Copia
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	Retrotransposon	Penelope-like_Elements	Penelope-like_Elements	Penelope-like_Elements	Penelope-like_Elements
Interspersed_Repeat	Transposable_Element	Retrotransposed_Element	Retrotransposon	TATE	TATE	TATE	TATE
Interspersed_Repeat	Unknown	Centromeric	Unknown	Unknown	Unknown	Unknown	Centromeric
Low_Complexity	Low_Complexity	Low_Complexity	Low_Complexity	Low_Complexity	Low_Complexity	Low_Complexity	Low_Complexity
Tandem_Repeat	Tandem_Repeat	Tandem_Repeat	Tandem_Repeat	Tandem_Repeat	Tandem_Repeat	Tandem_Repeat	Satellite
Tandem_Repeat	Tandem_Repeat	Tandem_Repeat	Tandem_Repeat	Tandem_Repeat	Tandem_Repeat	Tandem_Repeat	Simple_repeat

